id,name,popularity,artists,release_date,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5VUqbQ8Z5NXEITbmFhAhbk,"24 Preludes, Op. 11: No. 1 in C Major",52,"['Alexander Scriabin', 'Evgeny Zarafiants']",2000-02-09,62506,0.991,0.351,0.273,0.873,0.0,0.253,-21.277,1.0,0.051,71.184,3.0,0.0629
6Xan47ZLZr9P8YEcOt3JaX,"5 Preludes, Op. 16: IV. Prelude No. 4 in E-Flat Minor: Lento",53,"['Alexander Scriabin', 'Evgeny Zarafiants']",2000-02-09,61933,0.993,0.405,0.0015,0.95,3.0,0.0696,-41.899,0.0,0.0489,78.54,1.0,0.361
1l7xvA5XajmKQDo1h8Vc3K,Blast,50,"['Reflection Eternal', 'Vinia Mojica']",2000-10-17,187026,0.125,0.78,0.733,0.0,0.0,0.14,-4.974,1.0,0.422,93.787,4.0,0.75
62Da3JOu9H9EIgmqV7DoLG,Lux Aeterna,55,"['Clint Mansell', 'Kronos Quartet']",2000,234400,0.872,0.38,0.246,0.905,7.0,0.084,-13.955,0.0,0.0329,133.805,4.0,0.0573
5X2jIyGY95YNF3kmeOg1V1,You Are The Living Word (Live),45,"['Fred Hammond', 'Radical For Christ']",2000-04-18,327386,0.434,0.432,0.844,0.0,0.0,0.309,-4.243,0.0,0.0687,114.913,4.0,0.292
7nCfgsjUCQUogw3MY5tEeR,In The Jailhouse Now,47,"['The Soggy Bottom Boys', 'Tim Blake Nelson']",2000-12-05,216093,0.864,0.554,0.3,5.01e-05,11.0,0.131,-12.691,1.0,0.0413,142.566,4.0,0.803
7snyEEkuqPgQoJApi3iQ50,"Elysium - From ""Gladiator"" Soundtrack",56,"['Klaus Badelt', 'Lisa Gerrard', 'Gavin Greenaway', 'The Lyndhurst Orchestra']",2000,161493,0.709,0.167,0.0735,0.759,9.0,0.137,-25.284,1.0,0.0443,87.216,5.0,0.0377
7Hulh4egjeFaX7vroja3Q7,Slang Blade (feat. Senim Silla),48,"['Binary Star', 'Senim Silla']",2000-10-31,157754,0.423,0.823,0.764,0.0,5.0,0.0971,-7.841,0.0,0.162,99.529,4.0,0.706
0WyyDFJ2MNwHUQTWdlTERR,Lone Ranger,47,"['Maitchhh', 'Lunarrr']",2000-06-09,271200,0.0939,0.747,0.565,0.0,6.0,0.116,-6.675,1.0,0.186,136.955,4.0,0.736
1faidjbURmhACFeCjhxSu9,"Best Of Me, Part 2",49,"['Mýa', 'JAY-Z']",2000-01-01,221426,0.117,0.818,0.57,0.0,1.0,0.123,-7.626,0.0,0.348,96.219,4.0,0.747
