id,name,popularity,artists,release_date,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
3GfOAdcoc3X5GPiiXmpBjK,Song 2,67,['Blur'],2000-10-23,121880,0.00188,0.658,0.709,0.00447,8.0,0.0657,-6.736,1.0,0.0904,129.701,4.0,0.855
3AA8xNhDC0MpqwkGX3EP5V,If I Ever Feel Better,65,['Phoenix'],2000-03-06,266600,0.0492,0.755,0.553,0.00607,6.0,0.0646,-9.449,0.0,0.107,119.7,4.0,0.836
09RhTAi0nuzCs5KS2XWSs5,Faggot,61,['Mindless Self Indulgence'],2000-02-11,163706,0.000934,0.63,0.76,0.000797,1.0,0.0766,-10.347,1.0,0.115,152.032,4.0,0.562
1PRknVhZ6BsVX61MPrrVsV,Man Overboard,60,['blink-182'],2000,166733,0.00133,0.218,0.921,7.66e-06,7.0,0.0777,-4.414,1.0,0.0602,196.291,4.0,0.612
0WVTQp3SOCuMr08jh1jweV,Bring It On Home to Me,62,['Sam Cooke'],2000-09-26,162533,0.778,0.523,0.402,0.0,0.0,0.432,-8.233,1.0,0.0305,70.863,4.0,0.675
2zYBRyHAy6dv1wb53JXFD7,Laputa,59,['Panchiko'],2000-12-05,163544,0.876,0.509,0.513,0.0905,0.0,0.104,-6.49,1.0,0.0264,140.071,4.0,0.158
5znZ4aN1j49w2Oel8tdmgG,Brackish,60,['Kittie'],2000-01-11,189706,0.000291,0.349,0.931,0.00065,1.0,0.104,-6.016,1.0,0.0862,142.956,4.0,0.843
2DNyZP4Py6f4zMASLBnIu6,La Playa,74,['La Oreja de Van Gogh'],2000-09-07,247693,0.175,0.589,0.552,0.0,9.0,0.106,-5.707,1.0,0.0268,88.535,4.0,0.311
0rOTMSSa6yscfOrGnzfheM,99 Red Balloons,60,['Goldfinger'],2000-03-28,229173,0.00103,0.285,0.843,0.00037,4.0,0.327,-7.318,1.0,0.129,97.051,4.0,0.282
5QhBKPqsnX1uY9fZNaAtZg,Stronger,65,['Britney Spears'],2000-05-16,203000,0.128,0.707,0.923,0.000437,11.0,0.273,-3.957,1.0,0.0521,108.049,4.0,0.842
18ohWhzbMCynq5QJ68ifkW,Criminal,61,['Eminem'],2000-05-23,319600,0.127,0.81,0.724,0.0,4.0,0.306,-6.153,0.0,0.268,101.941,4.0,0.573
1CeizRCGEYPWooEeVfmyFL,A Long Walk,55,['Jill Scott'],2000-07-18,280973,0.0617,0.713,0.541,0.000137,6.0,0.112,-9.295,0.0,0.248,75.714,4.0,0.28
2g2GkH3vZHk4lWzBjgQ6nY,(What A) Wonderful World,64,['Sam Cooke'],2000-09-26,125440,0.627,0.691,0.507,0.0,11.0,0.457,-10.23,1.0,0.0343,128.518,4.0,0.885
4x3381mYJqptPqT6OKUfmu,Dare You To Move,59,['Switchfoot'],2000-01-01,247893,0.00573,0.426,0.881,0.0693,4.0,0.389,-4.526,1.0,0.0404,139.986,4.0,0.259
4y8G3pyyBvBKd47iyvHBNj,My Axe,56,['Insane Clown Posse'],2000-01-01,232200,0.00411,0.919,0.785,0.0,1.0,0.112,-4.141,1.0,0.0806,109.045,4.0,0.801
0Qrb3L8JgreLBW8g4qyan9,Back to School (Mini Maggit),61,['Deftones'],2000-05-16,237360,0.000386,0.3,0.986,0.000136,8.0,0.0924,-3.022,1.0,0.107,85.117,4.0,0.256
0gPQTLaqHDgdupKEok7J2x,7 Days,70,['Craig David'],2000-08-14,235133,0.23,0.659,0.812,0.0,4.0,0.0951,-7.499,0.0,0.0487,83.014,4.0,0.888
4XDBEoD6QFnzDY5oMmNVXN,The Hollow,59,['A Perfect Circle'],2000-01-01,178960,0.000166,0.295,0.789,0.0898,1.0,0.0986,-5.559,1.0,0.0702,104.135,4.0,0.515
